fid;fnev;szulev;szulho;csapat;ffi;kor;ido
1131;Fazekas Györgyi;1969;8;113;0;1;2073
1321;Lukács Benjámin;1976;6;132;1;1;2013
1311;Fodor Gizella;1985;12;131;0;1;2217
1101;Vincze Tímea;1996;7;110;0;1;1911
1151;Faragó Balázs;1968;11;115;1;1;2942
1341;Pintér Olga;1986;4;134;0;1;2873
1111;Horváth Ferenc;1985;3;111;1;1;2631
1021;Szalai Szilvia;1971;7;102;0;1;2795
1401;Sándor Alex;1981;3;140;1;1;2690
1371;Magyar Benjámin;1986;3;137;1;1;2041
1121;Varga Károly;1986;6;112;1;1;3043
1421;Kocsis Benjamin;1972;12;142;1;1;2993
1051;Orsós Brigitta;1993;7;105;0;1;2527
1281;Pintér Lóránt;1990;9;128;1;1;2114
1461;Bodnár Petra;1984;11;146;0;1;2341
1191;Faragó Virág;1970;6;119;0;1;2318
1141;Király Richárd;1973;1;114;1;1;1703
1291;Dobos Luca;1966;9;129;0;1;3041
1201;Váradi Benedek;1982;1;120;1;1;2429
1351;Gáspár Klaudia;1982;9;135;0;1;2761
1491;Nemes Dominik;1989;9;149;1;1;2877
1481;Nemes Gyula;1990;4;148;1;1;1814
1301;Fodor Renátó;1969;5;130;1;1;2888
1061;Kerekes Zalán;1992;10;106;1;1;2412
1411;Székely Rozália;1969;11;141;0;1;2144
1361;Szalai Ágnes;1968;5;136;0;1;2768
1171;Végh Mónika;1992;4;117;0;1;1881
1271;Pásztor Barnabás;1993;4;127;1;1;2408
1261;Oláh Mátyás;1992;8;126;1;1;2622
1211;Veres Richárd;1975;11;121;1;1;2992
1031;Végh Marcell;1998;3;103;1;1;2140
1181;Borbély Klára;1991;2;118;0;1;2303
1471;Gulyás Richárd;1999;12;147;1;1;2429
1241;Péter Szabolcs;1989;5;124;1;1;1913
1431;Orsós Albert;1977;11;143;1;1;2559
1251;Simon Róza;1982;11;125;0;1;1985
1511;Faragó Lilla;1989;4;151;0;1;2951
1441;Orosz Andrea;1973;11;144;0;1;2209
1451;Gál Veronika;1974;10;145;0;1;1988
1221;Illés Csongor;1978;11;122;1;1;2931
1011;Balla Anikó;1988;1;101;0;1;2267
1161;Soós Csaba;1972;5;116;1;1;2563
1081;Gulyás Lili;1998;12;108;0;1;1728
1331;Sipos Géza;1998;6;133;1;1;2062
1501;Balogh Győző;1979;5;150;1;1;2577
1381;Dobos Virág;1973;8;138;0;1;2126
1071;Balogh Richárd;1974;5;107;1;1;2213
1091;Hegedűs Beáta;1968;7;109;0;1;2007
1231;Magyar Mihály;1976;6;123;1;1;2531
